"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"79","AUXILIAR DE MANTENIMIENTO","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"80","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"81","COORDINADOR DE AMBIENTE","LOSEP","3.07.01.001.001.7.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"82","AUXILIAR DE SERVICIOS DE SALUD","CODIGO DE TRABAJO","2.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"83","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"84","JORNALERO","CODIGO DE TRABAJO","1.01.02.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"85","ARQUITECTA 1","LOSEP","3.01.01.001.001.5.1.01.05","Servidor Público 3","986","11832","82.17","35.42","0","0","117.59","","","","","","","","","","","",""
"86","OFICINISTA","LOSEP","4.01.01.001.004.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"87","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","56.11","35.42","112.32","0","203.85","","","","","","","","","","","",""
"88","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"89","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","65.47","35.42","224.64","0","325.53","","","","","","","","","","","",""
"90","AYUDANTE DE RECAUDACION","LOSEP","2.01.01.001.001.5.1.01.05","","649","7788","54.08","35.42","0","0","89.5","","","","","","","","","","","",""
"91","INSPECTOR","LOSEP","4.01.03.001.001.7.1.01.05","Servidor Público de Apoyo 2","622","7464","51.83","35.42","0","0","87.25","","","","","","","","","","","",""
"92","INSPECTOR NOTIFICADOR","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"93","PROFESORA  PARVULARIA","LOSEP","2.01.01.001.001.7.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"94","AYUDANTE DE AVALUOS Y CATASTROS","LOSEP","3.04.03.001.001.5.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"95","CHOFER","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","596","7152","56.28","35.42","79.36","0","171.06","","","","","","","","","","","",""
"96","ESPECIALISTA DE COMUNICACIÓN DIGITAL","LOSEP","4.05.01.001.001.5.1.01.05","Servidor Público 1","817","9804","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"97","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"98","AUXILIAR DE MANTENIMIENTO DE REDES DE AGUA POTABLE","CODIGO DE TRABAJO","3.03.01.001.001.6.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"99","TECNICO ADMINISTRATIVO 1","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"100","MEDICO GENERAL","LOSEP-SOC","2.03.01.010.001.7.1.05.10","Servidor Público 6","1412","16944","117.67","35.42","0","0","153.09","","","","","","","","","","","",""
"101","JORNALERO","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","561","6732","64.79","35.42","216.45","0","316.66","","","","","","","","","","","",""
"102","JORNALERO","CODIGO DE TRABAJO","1.01.02.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"103","AYUDANTE DE CARPINTERIA","CODIGO DE TRABAJO","2.03.01.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"104","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"105","INSPECTOR","LOSEP","3.03.01.001.001.6.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"106","OPERADOR INFORMATICO 2","LOSEP","1.01.01.001.001.5.1.01.05","Servidor Público 1","817","6657.9","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"107","ESPECIALISTA AMBIENTAL","LOSEP","3.07.01.001.001.5.1.01.05","Servidor Público 5","1212","14544","101","35.42","0","0","136.42","","","","","","","","","","","",""
"108","JORNALERO","CODIGO DE TRABAJO","3.07.01.001.001.5.1.01.06","","561","6732","47.52","35.42","9.27","0","92.21","","","","","","","","","","","",""
"109","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"110","AYUDANTE DE ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"111","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.7.1.01.06","","561","6732","60.79","35.42","168.48","0","264.69","","","","","","","","","","","",""
"112","JORNALERA","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"113","PEON","CODIGO DE TRABAJO","3.02.01.007.001.7.1.01.06","","561","6732","60.79","35.42","168.48","0","264.69","","","","","","","","","","","",""
"114","JORNALERO","CODIGO DE TRABAJO","3.07.02.001.001.7.1.01.06","","561","3796.1","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"115","AGENTE DE CONTROL MUNICIPAL 1°","LOSEP","1.03.01.001.001.5.1.01.05","Servidor Público de Apoyo 1","585","7020","48.75","35.42","0","0","84.17","","","","","","","","","","","",""
"116","JORNALERA","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"117","INGENIERO CIVIL 3","LOSEP","3.06.01.001.001.7.1.01.05","Servidor Público 5","1212","14544","121.2","35.42","242.4","0","399.02","","","","","","","","","","","",""
"118","AYUDANTE  DE TOPOGRAFÍA","CODIGO DE TRABAJO","3.06.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"119","COTIZADOR","LOSEP","2.03.01.001.001.7.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"120","DOCENTE MUNICIPAL EN EDUCACIÓN ARTISTICA CULTURAL","LOSEP-SOC","2.01.01.001.001.7.1.05.10","Servidor Público 1","817","6508.77","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
